structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
num_heavy_atoms,GNA11 (2767),0.9823327507733915,0.9840972642672332,0.0017645134938416573,2565.3166010651153,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,TEAD1 (7003),0.9823327507733915,0.9826028069496817,0.00027005617629016765,358.8911600721926,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,TJP1 (7082),0.9823327507733915,0.9826352429647812,0.00030249219138966943,402.74790201470324,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,BCAR1 (9564),0.9823327507733915,0.9830210844112762,0.0006883336378846749,937.2962380743614,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,RAPH1 (65059),0.9823327507733915,0.9834445152183191,0.0011117644449275543,1552.5968768468613,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,TJP1 (7082),0.9823327507733915,0.9824303846643605,9.763389096895114e-05,128.4772327725974,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,WAS (7454),0.9823327507733915,0.9845500901221877,0.002217339348796199,3318.1349373298253,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,CD151 (977),0.9823327507733915,0.9830256720875292,0.0006929213141376733,943.7982384616769,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,WFS1 (7466),0.9823327507733915,0.9837703147287157,0.0014375639553241282,2047.8818961388333,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,ERRFI1 (54206),0.9823327507733915,0.9825567993912098,0.00022404861781821772,296.9640813134981,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,TEAD1 (7003),0.9823327507733915,0.9846317644927592,0.002299013719367693,3458.640204123427,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,PHLDB1 (23187),0.9823327507733915,0.9832697624886277,0.0009370117152361912,1294.8836405660936,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,NCKAP1 (10787),0.9823327507733915,0.9832424766561714,0.0009097258827798216,1255.129530678254,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,RAPH1 (65059),0.9823327507733915,0.9825567753183606,0.00022402454496905921,296.93176429327195,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,IKZF1 (10320),0.9823327507733915,0.982551648514366,0.00021889774097449965,290.0512277905035,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,PARVA (55742),0.9823327507733915,0.9832271456780497,0.0008943949046581467,1232.8498059291705,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,CNN3 (1266),0.9823327507733915,0.9829122767660449,0.0005795259926533181,784.1091973868322,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,CD151 (977),0.9823327507733915,0.9836270271806445,0.0012942764072529922,1827.6259825164225,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,FAM114A1 (92689),0.9823327507733915,0.9828529223529398,0.0005201715795482009,701.3653968736356,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,PTTG1IP (754),0.9823327507733915,0.9835019258391969,0.0011691750658053834,1638.4535102673267,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_volume,GNA11 (2767),0.9823327507733915,0.9838590852475712,0.0015263344741796026,2186.2982107455605,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,TEAD1 (7003),0.9823327507733915,0.9833573807504541,0.0010246299770625411,1423.4204793413815,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,CUEDC1 (404093),0.9823327507733915,0.9838225579621622,0.0014898071887706754,2129.1587460993123,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,BCAR1 (9564),0.9823327507733915,0.9826249419755714,0.00029219120217982564,388.80218902859974,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,RAPH1 (65059),0.9823327507733915,0.9835556456300524,0.0012228948566608278,1719.3334836950542,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,TJP1 (7082),0.9823327507733915,0.9830078525247873,0.0006751017513957347,918.5626781451901,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_efficiency,PTPN7 (5778),0.9823327507733915,0.9827516712327625,0.000418920459370975,561.5292444478586,1.1102230246251565e-16,1.1937881985216736e-16,True
