GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
Hs-445,ACH-002245,Hs-445,HS445,1322218,COSMIC_ID,HIGH,
HSC-39,ACH-002141,HSC-39,HSC39,1322224,COSMIC_ID,HIGH,
NB4,ACH-000294,NB-4,NB4,1323913,COSMIC_ID,HIGH,
JEKO-1,ACH-000357,JeKo-1,JEKO1,1327765,COSMIC_ID,HIGH,
JJN-3,ACH-000653,JJN-3,JJN3,1327766,COSMIC_ID,HIGH,
JM1,ACH-000151,JM1,JM1,1327768,COSMIC_ID,HIGH,
JSC-1,ACH-002253,JSC-1,JSC1,1327769,COSMIC_ID,HIGH,
JURL-MK1,ACH-000326,JURL-MK1,JURLMK1,1327771,COSMIC_ID,HIGH,
KARPAS-1106P,ACH-002254,KARPAS-1106P,KARPAS1106P,1327773,COSMIC_ID,HIGH,
YMB-1-E,ACH-002208,YMB-1-E,YMB1E,1303911,COSMIC_ID,HIGH,
SU-DHL-6,ACH-000611,SU-DHL-6,SUDHL6,1331037,COSMIC_ID,HIGH,
SU-DHL-8,ACH-000656,SU-DHL-8,SUDHL8,1331038,COSMIC_ID,HIGH,
SUP-HD1,ACH-001203,SUP-HD1,SUPHD1,1331039,COSMIC_ID,HIGH,
U-CH2,ACH-002204,U-CH2,UCH2,1503373,COSMIC_ID,HIGH,
NCC010,ACH-002167,NCC010,NCC010,1509073,COSMIC_ID,HIGH,
NCC021,ACH-002168,NCC021,NCC021,1509074,COSMIC_ID,HIGH,
RCC-FG2,ACH-002189,RCC-FG2,RCCFG2,1524414,COSMIC_ID,HIGH,
RCC-JF,ACH-002190,RCC-JF,RCCJF,1524415,COSMIC_ID,HIGH,
RCC-JW,ACH-002191,RCC-JW,RCCJW,1524416,COSMIC_ID,HIGH,
RCC-ER,ACH-002188,RCC-ER,RCCER,1524417,COSMIC_ID,HIGH,
RCC-AB,ACH-002187,RCC-AB,RCCAB,1524418,COSMIC_ID,HIGH,
RCC-MF,ACH-002192,RCC-MF,RCCMF,1524419,COSMIC_ID,HIGH,
KMS-11,ACH-000714,KMS-11,KMS11,1659817,COSMIC_ID,HIGH,
MM1S,ACH-000763,MM1-S,MM1S,1659818,COSMIC_ID,HIGH,
OCI-LY7,ACH-001617,OCI-LY7,OCILY7,1659819,COSMIC_ID,HIGH,
TE-4,ACH-000917,TE-4,TE4,1503371,COSMIC_ID,HIGH,
SNU-1040,ACH-000999,SNU-1040,SNU1040,1659823,COSMIC_ID,HIGH,
SNU-283,ACH-000708,SNU-283,SNU283,1659929,COSMIC_ID,HIGH,
SNU-407,ACH-000955,SNU-407,SNU407,1660034,COSMIC_ID,HIGH,
SNU-61,ACH-000532,SNU-61,SNU61,1660035,COSMIC_ID,HIGH,
SNU-81,ACH-000991,SNU-81,SNU81,1660036,COSMIC_ID,HIGH,
